order_item_id,order_id,product_id,quantity,item_price,item_cost
1,O0000001,P0387,1,23.9,15.74
2,O0000002,P0190,1,22.11,14.44
3,O0000002,P0133,1,13.22,8.94
4,O0000003,P0361,1,13.03,8.52
5,O0000004,P0168,2,18.02,11.76
6,O0000005,P0052,1,16.42,12.74
7,O0000005,P0091,1,37.25,30.94
8,O0000006,P0205,1,7.7,5.84
9,O0000006,P0287,1,14.63,6.88
10,O0000007,P0090,1,45.85,26.54
11,O0000007,P0017,1,15.17,11.11
12,O0000008,P0308,1,44.75,24.08
13,O0000009,P0306,1,44.89,31.19
14,O0000010,P0388,1,15.88,6.95
15,O0000011,P0126,1,57.0,31.15
16,O0000012,P0139,1,13.84,9.45
17,O0000013,P0281,1,38.91,24.76
18,O0000014,P0392,1,5.0,2.42
19,O0000014,P0066,1,21.25,12.11
20,O0000014,P0159,1,5.0,2.41
21,O0000015,P0015,1,13.03,10.81
22,O0000016,P0362,1,35.77,24.48
23,O0000017,P0073,1,61.21,32.21
24,O0000018,P0228,1,110.05,86.75
25,O0000019,P0261,1,5.0,3.38
26,O0000020,P0284,1,11.42,5.74
27,O0000021,P0195,1,24.29,10.38
28,O0000022,P0304,1,11.87,9.52
29,O0000023,P0045,1,23.84,15.0
30,O0000024,P0001,1,36.5,27.31
31,O0000025,P0292,1,12.32,9.08
32,O0000026,P0052,1,16.42,12.45
33,O0000026,P0019,1,24.27,10.36
34,O0000027,P0102,1,34.13,23.26
35,O0000028,P0108,1,78.48,50.84
36,O0000029,P0031,2,31.79,14.41
37,O0000030,P0302,1,12.62,10.6
38,O0000031,P0034,1,40.02,32.13
39,O0000032,P0184,1,20.87,12.95
40,O0000033,P0291,1,23.42,17.6
41,O0000034,P0140,1,42.25,18.94
42,O0000035,P0282,1,31.47,20.48
43,O0000036,P0310,1,38.72,22.99
44,O0000037,P0388,1,11.56,6.82
45,O0000038,P0034,1,40.02,31.14
46,O0000038,P0194,1,46.22,34.64
47,O0000038,P0077,1,10.0,4.85
48,O0000039,P0288,1,10.33,8.26
49,O0000039,P0084,1,18.96,15.64
50,O0000040,P0396,1,67.85,33.93
51,O0000041,P0208,1,20.68,14.01
52,O0000042,P0384,1,25.72,19.7
53,O0000043,P0271,1,118.13,48.68
54,O0000044,P0192,1,130.83,74.39
55,O0000045,P0178,1,31.37,24.75
56,O0000046,P0375,1,19.93,9.47
57,O0000047,P0073,1,61.21,30.74
58,O0000048,P0318,1,15.46,11.32
59,O0000049,P0087,1,6.78,3.0
60,O0000050,P0089,1,30.2,16.83
61,O0000050,P0306,1,44.89,32.5
62,O0000051,P0175,1,15.31,7.11
63,O0000052,P0237,1,20.14,13.53
64,O0000053,P0141,1,25.44,17.0
65,O0000053,P0349,1,19.77,15.31
66,O0000054,P0257,1,90.28,73.94
67,O0000055,P0221,2,137.35,92.5
68,O0000056,P0194,1,46.22,36.55
69,O0000057,P0126,1,57.0,30.7
70,O0000058,P0164,1,7.78,6.41
71,O0000059,P0328,1,17.65,8.61
72,O0000060,P0385,1,28.75,14.42
73,O0000060,P0190,1,22.11,14.66
74,O0000061,P0143,3,5.0,3.8
75,O0000062,P0272,1,21.56,19.71
76,O0000063,P0180,1,15.67,12.2
77,O0000064,P0322,1,20.85,17.77
78,O0000065,P0062,1,17.52,9.95
79,O0000066,P0139,1,13.84,9.59
80,O0000067,P0342,1,150.89,118.18
81,O0000068,P0133,1,13.22,8.85
82,O0000069,P0035,1,55.97,43.54
83,O0000070,P0137,1,16.82,7.88
84,O0000071,P0353,1,34.15,17.48
85,O0000072,P0251,2,41.11,29.09
86,O0000073,P0044,1,14.64,9.45
87,O0000074,P0374,1,8.71,5.42
88,O0000075,P0165,1,11.19,4.86
89,O0000076,P0266,1,52.67,25.69
90,O0000077,P0151,1,8.95,7.69
91,O0000078,P0166,1,35.51,25.23
92,O0000078,P0175,1,13.78,7.19
93,O0000079,P0132,1,34.68,23.45
94,O0000080,P0271,1,118.13,50.57
95,O0000081,P0293,1,10.7,5.84
96,O0000082,P0265,1,23.33,17.13
97,O0000082,P0277,1,16.05,9.06
98,O0000083,P0318,1,15.46,11.24
99,O0000084,P0115,1,35.82,29.96
100,O0000085,P0282,1,31.47,21.08
101,O0000086,P0340,1,61.25,46.1
102,O0000087,P0353,1,34.15,17.96
103,O0000088,P0289,1,89.71,74.92
104,O0000089,P0175,1,15.31,7.02
105,O0000090,P0034,1,40.02,31.65
106,O0000090,P0080,1,25.92,12.64
107,O0000090,P0287,1,14.63,6.78
108,O0000091,P0083,1,13.11,10.67
109,O0000092,P0126,1,57.0,31.77
110,O0000092,P0256,1,43.56,33.63
111,O0000092,P0378,1,23.49,13.18
112,O0000093,P0197,1,53.52,30.87
113,O0000094,P0021,1,47.37,26.53
114,O0000095,P0400,1,36.29,18.23
115,O0000096,P0290,2,49.67,31.47
116,O0000097,P0159,1,5.0,2.43
117,O0000098,P0362,2,35.77,25.05
118,O0000098,P0061,1,7.91,3.65
119,O0000098,P0262,1,20.56,11.65
120,O0000099,P0159,1,5.0,2.37
121,O0000100,P0273,3,14.02,11.39
122,O0000101,P0199,1,34.14,23.25
123,O0000102,P0312,1,25.49,18.06
124,O0000103,P0297,1,8.01,3.71
125,O0000104,P0297,1,8.01,3.68
126,O0000104,P0366,1,22.18,17.29
127,O0000105,P0070,1,176.02,93.53
128,O0000106,P0117,1,12.46,9.79
129,O0000107,P0274,2,29.11,24.24
130,O0000108,P0139,1,12.46,9.24
131,O0000109,P0145,1,13.01,5.32
132,O0000110,P0351,1,44.95,32.68
133,O0000111,P0165,1,11.19,4.8
134,O0000112,P0340,1,61.25,48.69
135,O0000113,P0367,1,19.38,17.11
136,O0000114,P0392,1,5.0,2.53
137,O0000114,P0284,2,11.42,6.0
138,O0000114,P0321,1,38.93,31.54
139,O0000115,P0267,1,16.05,7.82
140,O0000116,P0297,1,7.19,3.62
141,O0000117,P0076,1,7.99,5.25
142,O0000118,P0357,1,30.69,19.02
143,O0000119,P0323,1,33.01,27.48
144,O0000120,P0035,1,55.97,41.9
145,O0000121,P0336,1,79.84,78.22
146,O0000122,P0039,1,16.72,9.25
147,O0000123,P0369,1,21.62,16.35
148,O0000124,P0108,2,72.65,50.22
149,O0000125,P0139,1,13.84,9.79
150,O0000126,P0286,1,7.86,4.23
151,O0000127,P0076,1,7.99,5.37
152,O0000128,P0114,1,43.43,35.51
