order_id,customer_id,order_date,order_status,payment_method,shipping_country,shipping_fee,discount,marketing_campaign_id,order_amount
O0000001,C04019,2023-07-03T03:36:00,completed,google_pay,Germany,3.99,0.0,,27.89
O0000002,C00901,2022-08-16T17:08:00,completed,google_pay,India,5.99,0.0,,41.32
O0000003,C01876,2024-11-14T16:45:00,completed,bank_transfer,Brazil,5.99,0.0,CAM106,19.02
O0000004,C03832,2024-02-09T16:10:00,completed,paypal,France,5.99,0.0,,42.03
O0000005,C04019,2025-07-27T10:22:00,completed,paypal,Germany,3.99,0.0,,57.66
O0000006,C04019,2022-06-24T23:08:00,completed,credit_card,Germany,3.99,0.0,,26.32
O0000007,C01876,2025-06-16T07:53:00,completed,paypal,Brazil,3.99,0.0,,65.01
O0000008,C04019,2023-06-25T05:45:00,completed,google_pay,Germany,3.99,0.0,,48.74
O0000009,C04019,2022-01-07T23:02:00,completed,credit_card,Germany,5.99,0.0,,50.88
O0000010,C03231,2022-05-15T11:22:00,completed,paypal,Australia,9.99,0.0,,25.87
O0000011,C01006,2025-02-21T19:57:00,completed,bank_transfer,India,5.99,0.0,,62.99
O0000012,C02771,2023-11-06T10:48:00,completed,credit_card,United States,3.99,0.0,,17.83
O0000013,C04019,2023-07-27T07:39:00,completed,google_pay,Germany,3.99,0.0,,42.9
O0000014,C04019,2024-06-14T19:47:00,completed,credit_card,Germany,3.99,15.0,CAM106,20.24
O0000015,C04019,2022-02-12T09:44:00,completed,google_pay,Germany,9.99,20.0,CAM109,3.02
O0000016,C03832,2024-11-21T15:38:00,completed,apple_pay,France,3.99,0.0,CAM101,39.76
O0000017,C04019,2022-04-08T05:53:00,returned,bank_transfer,Germany,0.0,0.0,,61.21
O0000018,C04019,2023-12-08T22:30:00,returned,credit_card,Germany,0.0,0.0,,110.05
O0000019,C04019,2025-07-25T19:04:00,completed,paypal,Germany,3.99,0.0,,8.99
O0000020,C04117,2022-01-14T14:20:00,completed,credit_card,United States,5.99,0.0,,17.41
O0000021,C04019,2022-09-13T21:56:00,completed,credit_card,Germany,3.99,0.0,,28.28
O0000022,C04019,2024-06-09T17:29:00,completed,paypal,Germany,3.99,0.0,,15.86
O0000023,C04019,2022-11-29T00:39:00,completed,credit_card,Germany,5.99,0.0,,29.83
O0000024,C04019,2023-09-24T00:34:00,completed,google_pay,Germany,3.99,0.0,,40.49
O0000025,C01876,2024-06-16T05:03:00,completed,bank_transfer,Brazil,9.99,0.0,,22.31
O0000026,C04019,2022-11-09T22:52:00,completed,credit_card,Germany,3.99,0.0,,44.68
O0000027,C04019,2023-08-24T16:05:00,completed,google_pay,Germany,3.99,0.0,,38.12
O0000028,C00248,2024-08-03T03:07:00,completed,credit_card,United Kingdom,3.99,0.0,,82.47
O0000029,C02916,2024-10-16T05:27:00,completed,apple_pay,United Kingdom,3.99,0.0,,67.57
O0000030,C04019,2023-04-02T17:45:00,completed,apple_pay,Germany,3.99,0.0,,16.61
O0000031,C04019,2024-07-01T05:41:00,completed,credit_card,Germany,3.99,0.0,,44.01
O0000032,C04019,2022-10-11T22:35:00,cancelled,credit_card,Germany,3.99,0.0,,24.86
O0000033,C04019,2023-12-02T23:08:00,completed,bank_transfer,Germany,3.99,20.0,CAM109,7.41
O0000034,C01379,2023-10-24T07:02:00,completed,credit_card,United States,5.99,0.0,,48.24
O0000035,C00901,2022-08-20T16:15:00,completed,credit_card,India,5.99,0.0,,37.46
O0000036,C04019,2024-10-31T18:40:00,completed,apple_pay,Germany,3.99,0.0,,42.71
O0000037,C04019,2023-03-11T04:07:00,completed,credit_card,Germany,3.99,0.0,CAM101,15.55
O0000038,C04019,2022-03-03T18:58:00,cancelled,paypal,Germany,3.99,0.0,,100.23
O0000039,C04019,2022-01-30T16:09:00,completed,apple_pay,Germany,3.99,0.0,,33.28
O0000040,C04019,2025-07-17T17:03:00,completed,paypal,Germany,3.99,0.0,,71.84
O0000041,C04019,2024-03-13T04:30:00,completed,paypal,Germany,3.99,10.0,CAM102,14.67
O0000042,C04019,2025-02-03T11:41:00,completed,google_pay,Germany,5.99,0.0,,31.71
O0000043,C04019,2023-01-12T11:14:00,completed,apple_pay,Germany,5.99,0.0,,124.12
O0000044,C04019,2024-11-25T23:43:00,completed,bank_transfer,Germany,3.99,0.0,,134.82
O0000045,C04461,2023-12-24T05:00:00,completed,credit_card,United States,5.99,0.0,,37.36
O0000046,C04019,2022-05-19T04:25:00,completed,credit_card,Germany,3.99,0.0,,23.92
O0000047,C00248,2022-11-20T07:52:00,completed,apple_pay,United Kingdom,3.99,0.0,,65.2
O0000048,C02701,2024-12-17T07:26:00,completed,google_pay,Brazil,9.99,0.0,,25.45
O0000049,C04019,2023-01-31T09:13:00,completed,google_pay,Germany,3.99,0.0,,10.77
O0000050,C00248,2022-06-16T12:01:00,completed,google_pay,United Kingdom,3.99,0.0,,79.08
O0000051,C04019,2022-08-25T11:20:00,completed,paypal,Germany,3.99,0.0,,19.3
O0000052,C04019,2025-06-29T12:39:00,completed,google_pay,Germany,3.99,0.0,,24.13
O0000053,C04019,2023-01-17T17:49:00,completed,apple_pay,Germany,3.99,0.0,,49.2
O0000054,C04019,2022-04-05T05:27:00,completed,paypal,Germany,0.0,0.0,,90.28
O0000055,C04019,2023-06-15T17:17:00,returned,google_pay,Germany,3.99,0.0,,278.69
O0000056,C04019,2022-03-27T07:42:00,completed,google_pay,Germany,3.99,0.0,,50.21
O0000057,C04019,2025-08-28T17:17:00,completed,apple_pay,Germany,3.99,0.0,,60.99
O0000058,C04019,2024-08-10T12:48:00,completed,credit_card,Germany,3.99,0.0,,11.77
O0000059,C00248,2024-10-26T07:34:00,cancelled,paypal,United Kingdom,3.99,0.0,,21.64
O0000060,C04019,2022-06-06T05:44:00,completed,apple_pay,Germany,3.99,0.0,,54.85
O0000061,C04019,2023-11-02T14:43:00,completed,apple_pay,Germany,3.99,0.0,,18.99
O0000062,C04019,2025-06-02T09:14:00,completed,apple_pay,Germany,5.99,0.0,CAM106,27.55
O0000063,C02204,2024-11-06T03:35:00,completed,credit_card,United States,5.99,0.0,,21.66
O0000064,C04019,2022-10-17T00:36:00,completed,credit_card,Germany,5.99,20.0,CAM105,6.84
O0000065,C01379,2022-07-02T20:11:00,completed,credit_card,United States,9.99,0.0,,27.51
O0000066,C04019,2024-02-23T05:50:00,completed,bank_transfer,Germany,0.0,0.0,,13.84
O0000067,C04019,2023-11-17T22:45:00,completed,credit_card,Germany,3.99,0.0,,154.88
O0000068,C04170,2023-07-15T19:21:00,completed,google_pay,India,3.99,0.0,,17.21
O0000069,C04019,2022-09-21T19:10:00,completed,google_pay,Germany,5.99,0.0,,61.96
O0000070,C00248,2022-03-11T12:15:00,cancelled,apple_pay,United Kingdom,5.99,0.0,,22.81
O0000071,C04019,2024-09-26T19:56:00,completed,bank_transfer,Germany,5.99,0.0,,40.14
O0000072,C04019,2025-01-19T16:11:00,completed,apple_pay,Germany,3.99,0.0,,86.21
O0000073,C00248,2023-02-11T05:13:00,completed,google_pay,United Kingdom,5.99,0.0,,20.63
O0000074,C04019,2025-08-24T08:26:00,completed,bank_transfer,Germany,3.99,0.0,,12.7
O0000075,C04019,2025-03-20T04:27:00,completed,paypal,Germany,3.99,0.0,,15.18
O0000076,C04019,2022-05-10T13:41:00,completed,google_pay,Germany,0.0,0.0,,52.67
O0000077,C04019,2024-04-25T10:06:00,cancelled,credit_card,Germany,3.99,0.0,,12.94
O0000078,C04019,2025-04-15T19:55:00,completed,apple_pay,Germany,9.99,0.0,,59.28
O0000079,C01876,2022-06-13T10:30:00,completed,apple_pay,Brazil,0.0,20.0,CAM101,14.68
O0000080,C04019,2022-12-08T06:11:00,completed,paypal,Germany,5.99,0.0,,124.12
O0000081,C04019,2025-03-31T11:14:00,completed,bank_transfer,Germany,5.99,0.0,,16.69
O0000082,C04019,2022-10-17T12:52:00,cancelled,bank_transfer,Germany,3.99,0.0,,43.37
O0000083,C00248,2022-06-04T18:06:00,completed,credit_card,United Kingdom,3.99,10.0,CAM104,9.45
