product_id,product_name,category,subcategory,price,cost
P0001,Phones Item 1,Electronics,Phones,36.5,26.62
P0002,Phones Item 2,Electronics,Phones,21.96,14.7
P0003,Computers Item 3,Electronics,Computers,20.34,8.67
P0004,Audio Item 4,Electronics,Audio,20.34,16.06
P0005,Audio Item 5,Electronics,Audio,86.78,35.52
P0006,Audio Item 6,Electronics,Audio,45.33,37.92
P0007,Phones Item 7,Electronics,Phones,16.85,8.12
P0008,Phones Item 8,Electronics,Phones,37.87,18.27
P0009,Accessories Item 9,Electronics,Accessories,29.77,17.69
P0010,Phones Item 10,Electronics,Phones,5.31,2.82
P0011,Phones Item 11,Electronics,Phones,10.91,5.8
P0012,Phones Item 12,Electronics,Phones,31.54,17.82
P0013,Audio Item 13,Electronics,Audio,79.24,38.82
P0014,Audio Item 14,Electronics,Audio,20.48,12.93
P0015,Phones Item 15,Electronics,Phones,15.87,10.69
P0016,Audio Item 16,Electronics,Audio,26.81,12.78
P0017,Accessories Item 17,Electronics,Accessories,15.17,10.74
P0018,Audio Item 18,Electronics,Audio,19.43,11.62
P0019,Accessories Item 19,Electronics,Accessories,24.27,10.08
P0020,Computers Item 20,Electronics,Computers,10.53,8.52
P0021,Phones Item 21,Electronics,Phones,47.37,25.59
P0022,Audio Item 22,Electronics,Audio,9.24,5.86
P0023,Accessories Item 23,Electronics,Accessories,8.48,7.09
P0024,Computers Item 24,Electronics,Computers,28.72,21.51
P0025,Computers Item 25,Electronics,Computers,44.29,19.48
P0026,Audio Item 26,Electronics,Audio,28.14,13.74
P0027,Audio Item 27,Electronics,Audio,22.36,12.85
P0028,Computers Item 28,Electronics,Computers,19.28,10.07
P0029,Phones Item 29,Electronics,Phones,16.97,8.93
P0030,Phones Item 30,Electronics,Phones,57.15,36.82
P0031,Accessories Item 31,Electronics,Accessories,31.79,13.78
P0032,Phones Item 32,Electronics,Phones,18.03,15.22
P0033,Computers Item 33,Electronics,Computers,14.27,5.74
P0034,Computers Item 34,Electronics,Computers,40.02,30.69
P0035,Computers Item 35,Electronics,Computers,55.97,41.81
P0036,Phones Item 36,Electronics,Phones,51.68,22.39
P0037,Accessories Item 37,Electronics,Accessories,12.54,9.89
P0038,Phones Item 38,Electronics,Phones,19.16,13.04
P0039,Accessories Item 39,Electronics,Accessories,16.72,9.03
P0040,Phones Item 40,Electronics,Phones,21.15,11.55
P0041,Computers Item 41,Electronics,Computers,46.99,37.56
P0042,Computers Item 42,Electronics,Computers,72.6,44.47
P0043,Audio Item 43,Electronics,Audio,32.76,24.32
P0044,Phones Item 44,Electronics,Phones,14.64,9.55
P0045,Phones Item 45,Electronics,Phones,23.84,15.14
P0046,Audio Item 46,Electronics,Audio,85.77,50.81
P0047,Computers Item 47,Electronics,Computers,26.3,14.24
P0048,Phones Item 48,Electronics,Phones,19.31,12.14
P0049,Audio Item 49,Electronics,Audio,20.58,12.03
P0050,Phones Item 50,Electronics,Phones,32.64,24.15
P0051,Accessories Item 51,Electronics,Accessories,12.85,10.52
P0052,Computers Item 52,Electronics,Computers,16.42,12.54
P0053,Accessories Item 53,Electronics,Accessories,51.03,38.87
P0054,Computers Item 54,Electronics,Computers,31.91,15.44
P0055,Audio Item 55,Electronics,Audio,26.51,20.24
P0056,Computers Item 56,Electronics,Computers,53.25,42.77
P0057,Computers Item 57,Electronics,Computers,13.99,7.03
P0058,Audio Item 58,Electronics,Audio,18.88,11.18
P0059,Computers Item 59,Electronics,Computers,31.09,12.53
P0060,Phones Item 60,Electronics,Phones,30.23,19.04
P0061,Audio Item 61,Electronics,Audio,7.91,3.59
P0062,Audio Item 62,Electronics,Audio,17.52,9.67
P0063,Audio Item 63,Electronics,Audio,21.56,13.66
P0064,Accessories Item 64,Electronics,Accessories,33.89,24.28
P0065,Accessories Item 65,Electronics,Accessories,30.15,25.12
P0066,Computers Item 66,Electronics,Computers,23.11,11.86
P0067,Audio Item 67,Electronics,Audio,5.29,2.79
P0068,Computers Item 68,Electronics,Computers,24.02,10.01
P0069,Phones Item 69,Electronics,Phones,25.74,10.89
P0070,Audio Item 70,Electronics,Audio,176.02,92.48
P0071,Phones Item 71,Electronics,Phones,21.03,9.78
P0072,Computers Item 72,Electronics,Computers,31.23,19.37
P0073,Accessories Item 73,Electronics,Accessories,61.21,31.03
P0074,Computers Item 74,Electronics,Computers,44.77,32.58
P0075,Phones Item 75,Electronics,Phones,75.36,51.63
P0076,Audio Item 76,Electronics,Audio,7.99,5.12
P0077,Computers Item 77,Electronics,Computers,11.11,4.65
P0078,Audio Item 78,Electronics,Audio,15.6,10.39
P0079,Accessories Item 79,Electronics,Accessories,7.1,4.9
P0080,Accessories Item 80,Electronics,Accessories,25.92,12.4
P0081,Garden Item 81,Home,Garden,11.76,9.66
P0082,Furniture Item 82,Home,Furniture,84.77,39.15
P0083,Decor Item 83,Home,Decor,13.11,10.7
P0084,Furniture Item 84,Home,Furniture,18.96,15.07
P0085,Furniture Item 85,Home,Furniture,47.03,36.11
P0086,Decor Item 86,Home,Decor,9.16,5.95
P0087,Garden Item 87,Home,Garden,6.78,3.0
P0088,Garden Item 88,Home,Garden,28.44,22.86
P0089,Decor Item 89,Home,Decor,30.2,16.69
P0090,Furniture Item 90,Home,Furniture,45.85,25.55
P0091,Furniture Item 91,Home,Furniture,37.25,29.77
P0092,Garden Item 92,Home,Garden,31.11,23.36
P0093,Kitchen Item 93,Home,Kitchen,14.24,6.73
P0094,Kitchen Item 94,Home,Kitchen,29.54,23.76
P0095,Kitchen Item 95,Home,Kitchen,31.01,12.47
P0096,Furniture Item 96,Home,Furniture,13.85,6.54
P0097,Furniture Item 97,Home,Furniture,109.14,75.68
P0098,Garden Item 98,Home,Garden,35.84,17.95
P0099,Kitchen Item 99,Home,Kitchen,11.25,6.15
P0100,Garden Item 100,Home,Garden,46.05,33.89
P0101,Garden Item 101,Home,Garden,53.02,36.9
P0102,Garden Item 102,Home,Garden,34.13,22.38
P0103,Decor Item 103,Home,Decor,20.16,10.47
P0104,Kitchen Item 104,Home,Kitchen,13.42,6.84
P0105,Kitchen Item 105,Home,Kitchen,23.07,18.49
P0106,Decor Item 106,Home,Decor,32.23,22.05
P0107,Decor Item 107,Home,Decor,24.79,16.35
P0108,Kitchen Item 108,Home,Kitchen,78.48,48.79
P0109,Decor Item 109,Home,Decor,40.47,21.3
P0110,Garden Item 110,Home,Garden,12.36,5.08
P0111,Furniture Item 111,Home,Furniture,10.42,8.58
P0112,Garden Item 112,Home,Garden,36.09,29.93
P0113,Kitchen Item 113,Home,Kitchen,20.52,8.35
P0114,Decor Item 114,Home,Decor,43.43,35.51
P0115,Furniture Item 115,Home,Furniture,35.82,29.86
P0116,Kitchen Item 116,Home,Kitchen,23.14,18.14
P0117,Decor Item 117,Home,Decor,12.46,9.76
P0118,Furniture Item 118,Home,Furniture,7.3,3.96
P0119,Furniture Item 119,Home,Furniture,29.12,23.92
P0120,Decor Item 120,Home,Decor,9.06,6.46
P0121,Furniture Item 121,Home,Furniture,12.1,8.19
P0122,Kitchen Item 122,Home,Kitchen,27.74,23.45
P0123,Decor Item 123,Home,Decor,25.7,20.43
P0124,Garden Item 124,Home,Garden,9.83,7.21
P0125,Kitchen Item 125,Home,Kitchen,58.35,32.78
P0126,Kitchen Item 126,Home,Kitchen,57.0,30.33
P0127,Decor Item 127,Home,Decor,37.04,29.27
P0128,Decor Item 128,Home,Decor,37.0,30.01
P0129,Furniture Item 129,Home,Furniture,37.04,28.12
P0130,Kitchen Item 130,Home,Kitchen,534.96,370.45
P0131,Furniture Item 131,Home,Furniture,52.63,42.13
P0132,Kitchen Item 132,Home,Kitchen,41.31,22.81
P0133,Kitchen Item 133,Home,Kitchen,13.22,8.73
P0134,Garden Item 134,Home,Garden,20.3,8.45
P0135,Kitchen Item 135,Home,Kitchen,156.29,82.67
P0136,Furniture Item 136,Home,Furniture,5.51,3.67
P0137,Furniture Item 137,Home,Furniture,16.82,7.69
P0138,Garden Item 138,Home,Garden,58.62,37.22
P0139,Furniture Item 139,Home,Furniture,13.84,9.42
P0140,Decor Item 140,Home,Decor,42.25,18.52
P0141,Garden Item 141,Home,Garden,25.44,16.37
P0142,Furniture Item 142,Home,Furniture,14.57,10.01
P0143,Furniture Item 143,Home,Furniture,5.0,3.79
P0144,Decor Item 144,Home,Decor,28.48,14.86
P0145,Garden Item 145,Home,Garden,13.01,5.35
P0146,Decor Item 146,Home,Decor,22.38,18.65
P0147,Garden Item 147,Home,Garden,36.74,21.46
P0148,Garden Item 148,Home,Garden,49.04,23.44
P0149,Kitchen Item 149,Home,Kitchen,16.78,10.86
P0150,Furniture Item 150,Home,Furniture,14.55,10.5
P0151,Furniture Item 151,Home,Furniture,8.95,7.43
P0152,Kitchen Item 152,Home,Kitchen,51.13,37.43
P0153,Decor Item 153,Home,Decor,133.98,78.89
P0154,Kitchen Item 154,Home,Kitchen,56.03,28.66
P0155,Furniture Item 155,Home,Furniture,67.59,27.47
P0156,Furniture Item 156,Home,Furniture,13.93,6.3
P0157,Kitchen Item 157,Home,Kitchen,34.99,21.46
P0158,Kitchen Item 158,Home,Kitchen,45.59,20.24
P0159,Kitchen Item 159,Home,Kitchen,5.0,2.39
P0160,Furniture Item 160,Home,Furniture,10.81,6.43
P0161,Men Item 161,Apparel,Men,90.55,62.1
P0162,Men Item 162,Apparel,Men,7.81,3.28
P0163,Kids Item 163,Apparel,Kids,77.71,48.68
P0164,Men Item 164,Apparel,Men,7.78,6.11
P0165,Women Item 165,Apparel,Women,11.19,4.83
P0166,Kids Item 166,Apparel,Kids,35.51,24.47
P0167,Sportswear Item 167,Apparel,Sportswear,25.94,21.35
P0168,Women Item 168,Apparel,Women,18.02,11.87
